customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
1,Daniel Brown LLC,Daniel,Brown,+1-428-342-2679,8936 Oak Dr,Columbus,NC,USA,4146.49,Enterprise
2,Robert Davis Ltd,Robert,Davis,+1-227-774-4257,8929 Washington Ave,Charlotte,,Brazil,59337.3,Enterprise
3,Anthony Sanchez Corp,Anthony,Sanchez,+1-484-359-4527,5515 Oak St,Fort Worth,BC,Canada,10574.92,Individual
4,Susan Rodriguez Ltd,Susan,Rodriguez,+1-327-587-2291,9045 Cedar Dr,Toronto,QC,USA,86308.98,SMB
5,Matthew Williams Corp,Matthew,Williams,+1-281-438-2654,6228 Cedar Rd,London,OH,USA,83576.93,SMB
6,Patricia Lopez Inc,Patricia,Lopez,+1-823-850-3803,8752 Maple Ave,Charlotte,NC,Canada,38566.09,SMB
7,Jessica Hernandez Inc,Jessica,Hernandez,+1-523-610-5386,1085 Maple Dr,Toronto,OH,USA,72073.51,SMB
8,Daniel Thomas Co,Daniel,Thomas,+1-346-471-3287,4041 Cedar Dr,Columbus,,Japan,89884.47,Government
9,Patricia Davis Co,Patricia,Davis,+1-293-973-1771,1797 Pine Ave,Tokyo,,USA,68367.64,Enterprise
10,Richard Gonzalez Ltd,Richard,Gonzalez,+1-457-766-1188,1877 Cedar Blvd,Houston,,Australia,30056.51,SMB
11,Charles Smith Ltd,Charles,Smith,+1-980-382-9317,1744 Cedar Dr,Boston,,France,20692.2,Individual
12,Anthony Garcia Ltd,Anthony,Garcia,+1-200-813-6310,8006 Main St,Mumbai,,Mexico,36935.1,Individual
13,Lisa Johnson Ltd,Lisa,Johnson,+1-280-287-8962,1134 Pine Ave,Paris,,UK,48052.96,SMB
14,James Taylor LLC,James,Taylor,+1-752-973-4295,5108 Washington Blvd,Charlotte,,China,90061.79,Government
15,Sarah Davis Inc,Sarah,Davis,+1-546-221-4770,9642 Maple St,Chicago,,UK,71076.25,Enterprise
16,Lisa Williams Inc,Lisa,Williams,+1-726-443-5562,7954 Maple Dr,Phoenix,CO,USA,72611.9,Government
